CityState,City,State,CountryRegion,Continent
Spokane-Washington,Spokane,Washington,United States,North America
Bellflower-California,Bellflower,California,United States,North America
Beaverton-Oregon,Beaverton,Oregon,United States,North America
Walla Walla-Washington,Walla Walla,Washington,United States,North America
San Gabriel-California,San Gabriel,California,United States,North America
Lincoln Acres-California,Lincoln Acres,California,United States,North America
Redmond-Washington,Redmond,Washington,United States,North America
Bellingham-Washington,Bellingham,Washington,United States,North America
Newport Beach-California,Newport Beach,California,United States,North America
Seattle-Washington,Seattle,Washington,United States,North America
Everett-Washington,Everett,Washington,United States,North America
Burbank-California,Burbank,California,United States,North America
San Francisco-California,San Francisco,California,United States,North America
Yakima-Washington,Yakima,Washington,United States,North America
Burlingame-California,Burlingame,California,United States,North America
Berkeley-California,Berkeley,California,United States,North America
Grossmont-California,Grossmont,California,United States,North America
Lakewood-California,Lakewood,California,United States,North America
San Diego-California,San Diego,California,United States,North America
Oakland-California,Oakland,California,United States,North America
San Carlos-California,San Carlos,California,United States,North America
Fremont-California,Fremont,California,United States,North America
Mill Valley-California,Mill Valley,California,United States,North America
Chula Vista-California,Chula Vista,California,United States,North America
Oregon City-Oregon,Oregon City,Oregon,United States,North America
West Covina-California,West Covina,California,United States,North America
Santa Cruz-California,Santa Cruz,California,United States,North America
Colma-California,Colma,California,United States,North America
Burien-Washington,Burien,Washington,United States,North America
Concord-California,Concord,California,United States,North America
National City-California,National City,California,United States,North America
Torrance-California,Torrance,California,United States,North America
Palo Alto-California,Palo Alto,California,United States,North America
Redwood City-California,Redwood City,California,United States,North America
Woodland Hills-California,Woodland Hills,California,United States,North America
Lemon Grove-California,Lemon Grove,California,United States,North America
Spring Valley-California,Spring Valley,California,United States,North America
Santa Monica-California,Santa Monica,California,United States,North America
Los Angeles-California,Los Angeles,California,United States,North America
Imperial Beach-California,Imperial Beach,California,United States,North America
Beverly Hills-California,Beverly Hills,California,United States,North America
Downey-California,Downey,California,United States,North America
La Jolla-California,La Jolla,California,United States,North America
El Cajon-California,El Cajon,California,United States,North America
Coronado-California,Coronado,California,United States,North America
Daly City-California,Daly City,California,United States,North America
Marysville-Washington,Marysville,Washington,United States,North America
W. Linn-Oregon,W. Linn,Oregon,United States,North America
Baytown-Texas,Baytown,Texas,United States,North America
Chicago-Illinois,Chicago,Illinois,United States,North America
Worcester-Massachusetts,Worcester,Massachusetts,United States,North America
Woodburn-Oregon,Woodburn,Oregon,United States,North America
Bremerton-Washington,Bremerton,Washington,United States,North America
Long Beach-California,Long Beach,California,United States,North America
Glendale-California,Glendale,California,United States,North America
Novato-California,Novato,California,United States,North America
Hamburg-Hamburg,Hamburg,Hamburg,Germany,Europe
Eilenburg-Saxony,Eilenburg,Saxony,Germany,Europe
Frankfurt-Hesse,Frankfurt,Hesse,Germany,Europe
Paderborn-North Rhine-Westphalia,Paderborn,North Rhine-Westphalia,Germany,Europe
Saarlouis-Saar,Saarlouis,Saar,Germany,Europe
Berlin-Berlin,Berlin,Berlin,Germany,Europe
Offenbach am Main-Hesse,Offenbach am Main,Hesse,Germany,Europe
Werne-North Rhine-Westphalia,Werne,North Rhine-Westphalia,Germany,Europe
Dresden-Saxony,Dresden,Saxony,Germany,Europe
Neunkirchen-North Rhine-Westphalia,Neunkirchen,North Rhine-Westphalia,Germany,Europe
Bottrop-North Rhine-Westphalia,Bottrop,North Rhine-Westphalia,Germany,Europe
Sulzbach Taunus-Saar,Sulzbach Taunus,Saar,Germany,Europe
Ingolstadt-Bavaria,Ingolstadt,Bavaria,Germany,Europe
Darmstadt-Hesse,Darmstadt,Hesse,Germany,Europe
Bonn-North Rhine-Westphalia,Bonn,North Rhine-Westphalia,Germany,Europe
Erlangen-Bavaria,Erlangen,Bavaria,Germany,Europe
Renton-Washington,Renton,Washington,United States,North America
Tacoma-Washington,Tacoma,Washington,United States,North America
Corvallis-Oregon,Corvallis,Oregon,United States,North America
Lebanon-Oregon,Lebanon,Oregon,United States,North America
Portland-Oregon,Portland,Oregon,United States,North America
Lake Oswego-Oregon,Lake Oswego,Oregon,United States,North America
Puyallup-Washington,Puyallup,Washington,United States,North America
Issaquah-Washington,Issaquah,Washington,United States,North America
Salem-Oregon,Salem,Oregon,United States,North America
Kirkland-Washington,Kirkland,Washington,United States,North America
Olympia-Washington,Olympia,Washington,United States,North America
Edmonds-Washington,Edmonds,Washington,United States,North America
Cheyenne-Wyoming,Cheyenne,Wyoming,United States,North America
Sedro Woolley-Washington,Sedro Woolley,Washington,United States,North America
Milwaukie-Oregon,Milwaukie,Oregon,United States,North America
Port Orchard-Washington,Port Orchard,Washington,United States,North America
Lynnwood-Washington,Lynnwood,Washington,United States,North America
Cincinnati-Ohio,Cincinnati,Ohio,United States,North America
Citrus Heights-California,Citrus Heights,California,United States,North America
Ballard-Washington,Ballard,Washington,United States,North America
Stuttgart-Baden-Wuerttemberg,Stuttgart,Baden-Wuerttemberg,Germany,Europe
Hof-Bavaria,Hof,Bavaria,Germany,Europe
Poing-Bavaria,Poing,Bavaria,Germany,Europe
Hanover-Lower Saxony,Hanover,Lower Saxony,Germany,Europe
Solingen-North Rhine-Westphalia,Solingen,North Rhine-Westphalia,Germany,Europe
Dusseldorf-North Rhine-Westphalia,Dusseldorf,North Rhine-Westphalia,Germany,Europe
Mühlheim am Main-Hesse,Mühlheim am Main,Hesse,Germany,Europe
Munster-North Rhine-Westphalia,Munster,North Rhine-Westphalia,Germany,Europe
Essen-North Rhine-Westphalia,Essen,North Rhine-Westphalia,Germany,Europe
Bell Gardens-California,Bell Gardens,California,United States,North America
City Of Commerce-California,City Of Commerce,California,United States,North America
Clackamas-Oregon,Clackamas,Oregon,United States,North America
Leipzig-Saxony,Leipzig,Saxony,Germany,Europe
Kassel-Hesse,Kassel,Hesse,Germany,Europe
Munich-Bavaria,Munich,Bavaria,Germany,Europe
Saarbrücken-Saar,Saarbrücken,Saar,Germany,Europe
Salzgitter-Lower Saxony,Salzgitter,Lower Saxony,Germany,Europe
College Station-Texas,College Station,Texas,United States,North America
Clay-New York,Clay,New York,United States,North America
Columbus-Georgia,Columbus,Georgia,United States,North America
Kiel-Schleswig-Holstein,Kiel,Schleswig-Holstein,Germany,Europe
Brunswick-Lower Saxony,Brunswick,Lower Saxony,Germany,Europe
Bradenton-Florida,Bradenton,Florida,United States,North America
Grevenbroich-North Rhine-Westphalia,Grevenbroich,North Rhine-Westphalia,Germany,Europe
Bluffton-South Carolina,Bluffton,South Carolina,United States,North America
Camarillo-California,Camarillo,California,United States,North America
Carol Stream-Illinois,Carol Stream,Illinois,United States,North America
Canoga Park-California,Canoga Park,California,United States,North America
Barstow-California,Barstow,California,United States,North America
Casper-Wyoming,Casper,Wyoming,United States,North America
Cedar City-Utah,Cedar City,Utah,United States,North America
Chandler-Arizona,Chandler,Arizona,United States,North America
Central Valley-New York,Central Valley,New York,United States,North America
Bellevue-Washington,Bellevue,Washington,United States,North America
Cheektowaga-New York,Cheektowaga,New York,United States,North America
Branch-Minnesota,Branch,Minnesota,United States,North America
Campbellsville-Kentucky,Campbellsville,Kentucky,United States,North America
Carson-California,Carson,California,United States,North America
Charlotte-North Carolina,Charlotte,North Carolina,United States,North America
Albany-New York,Albany,New York,United States,North America
Columbus-Ohio,Columbus,Ohio,United States,North America
Alexandria-Virginia,Alexandria,Virginia,United States,North America
Cedar Park-Texas,Cedar Park,Texas,United States,North America
Anchorage-Alaska,Anchorage,Alaska,United States,North America
Appleton-Wisconsin,Appleton,Wisconsin,United States,North America
Arlington-Texas,Arlington,Texas,United States,North America
Aurora-Colorado,Aurora,Colorado,United States,North America
Austin-Texas,Austin,Texas,United States,North America
Baltimore-Maryland,Baltimore,Maryland,United States,North America
Bayonne-New Jersey,Bayonne,New Jersey,United States,North America
Beaumont-Texas,Beaumont,Texas,United States,North America
Berthoud-Colorado,Berthoud,Colorado,United States,North America
Bethesda-Maryland,Bethesda,Maryland,United States,North America
Annapolis-Maryland,Annapolis,Maryland,United States,North America
Boston-Massachusetts,Boston,Massachusetts,United States,North America
Billings-Montana,Billings,Montana,United States,North America
Chantilly-Virginia,Chantilly,Virginia,United States,North America
Boulder-Colorado,Boulder,Colorado,United States,North America
